2017-03-07,16
2017-03-08,17
2017-03-09,16
2017-03-10,22
2017-03-11,18
2017-03-12,14
2017-03-13,14
2017-03-14,14
2017-03-15,13
2017-03-16,14
2017-03-17,15
2017-03-18,16
2017-03-19,15
2017-03-20,14
2017-03-21,14
2017-03-22,14
2017-03-23,13
2017-03-24,14
2017-03-25,15
2017-03-26,12
2017-03-27,12
2017-03-28,13
2017-03-29,12
2017-03-30,12
2017-03-31,12
2017-04-01,11
2017-04-02,11
2017-04-03,12
2017-04-04,12
2017-04-05,11
2017-04-06,12
2017-04-07,11
2017-04-08,12
2017-04-09,11
2017-04-10,12
2017-04-11,12
2017-04-12,13
2017-04-13,12
2017-04-14,11
2017-04-15,11
2017-04-16,11
2017-04-17,12
2017-04-18,13
2017-04-19,12
2017-04-20,12
2017-04-21,12
2017-04-22,12
2017-04-23,11
2017-04-24,12
2017-04-25,13
2017-04-26,13
2017-04-27,14
2017-04-28,14
2017-04-29,13
2017-04-30,13
2017-05-01,16
2017-05-02,17
2017-05-03,17
2017-05-04,22
2017-05-05,21
2017-05-06,18
2017-05-07,17
2017-05-08,19
2017-05-09,25
2017-05-10,23
2017-05-11,25
2017-05-12,29
2017-05-13,31
2017-05-14,25
2017-05-15,35
2017-05-16,32
2017-05-17,26
2017-05-18,24
2017-05-19,27
2017-05-20,27
2017-05-21,28
2017-05-22,45
2017-05-23,46
2017-05-24,50
2017-05-25,68
2017-05-26,52
2017-05-27,46
2017-05-28,34
2017-05-29,32
2017-05-30,33
2017-05-31,32
2017-06-01,32
2017-06-02,28
2017-06-03,26
2017-06-04,25
2017-06-05,28
2017-06-06,38
2017-06-07,36
2017-06-08,29
2017-06-09,30
2017-06-10,27
2017-06-11,29
2017-06-12,37
2017-06-13,33
2017-06-14,32
2017-06-15,38
2017-06-16,33
2017-06-17,27
2017-06-18,26
2017-06-19,27
2017-06-20,28
2017-06-21,28
2017-06-22,29
2017-06-23,27
2017-06-24,26
2017-06-25,25
2017-06-26,30
2017-06-27,34
2017-06-28,33
2017-06-29,27
2017-06-30,24
2017-07-01,22
2017-07-02,22
2017-07-03,24
2017-07-04,23
2017-07-05,23
2017-07-06,23
2017-07-07,23
2017-07-08,22
2017-07-09,21
2017-07-10,24
2017-07-11,29
2017-07-12,27
2017-07-13,26
2017-07-14,24
2017-07-15,29
2017-07-16,33
2017-07-17,30
2017-07-18,29
2017-07-19,27
2017-07-20,30
2017-07-21,30
2017-07-22,27
2017-07-23,27
2017-07-24,27
2017-07-25,29
2017-07-26,27
2017-07-27,27
2017-07-28,31
2017-07-29,24
2017-07-30,24
2017-07-31,32
2017-08-01,53
2017-08-02,49
2017-08-03,34
2017-08-04,31
2017-08-05,41
2017-08-06,33
2017-08-07,38
2017-08-08,40
2017-08-09,35
2017-08-10,33
2017-08-11,36
2017-08-12,42
2017-08-13,51
2017-08-14,58
2017-08-15,58
2017-08-16,48
2017-08-17,48
2017-08-18,46
2017-08-19,44
2017-08-20,41
2017-08-21,41
2017-08-22,46
2017-08-23,42
2017-08-24,39
2017-08-25,41
2017-08-26,36
2017-08-27,33
2017-08-28,36
2017-08-29,43
2017-08-30,44
2017-08-31,46
2017-09-01,50
2017-09-02,47
2017-09-03,42
2017-09-04,53
2017-09-05,52
2017-09-06,45
2017-09-07,41
2017-09-08,45
2017-09-09,38
2017-09-10,38
2017-09-11,40
2017-09-12,40
2017-09-13,55
2017-09-14,68
2017-09-15,75
2017-09-16,51
2017-09-17,41
2017-09-18,48
2017-09-19,44
2017-09-20,38
2017-09-21,39
2017-09-22,36
2017-09-23,31
2017-09-24,29
2017-09-25,33
2017-09-26,32
2017-09-27,35
2017-09-28,33
2017-09-29,32
2017-09-30,29
2017-10-01,30
2017-10-02,34
2017-10-03,33
2017-10-04,32
2017-10-05,31
2017-10-06,30
2017-10-07,28
2017-10-08,31
2017-10-09,37
2017-10-10,39
2017-10-11,37
2017-10-12,63
2017-10-13,75
2017-10-14,53
2017-10-15,48
2017-10-16,49
2017-10-17,45
2017-10-18,47
2017-10-19,45
2017-10-20,54
2017-10-21,60
2017-10-22,47
2017-10-23,59
2017-10-24,62
2017-10-25,54
2017-10-26,52
2017-10-27,44
2017-10-28,40
2017-10-29,43
2017-10-30,51
2017-10-31,60
2017-11-01,74
2017-11-02,100
2017-11-03,88
2017-11-04,66
2017-11-05,67
2017-11-06,73
2017-11-07,67
